scenario,team,site,nb_rescues
SCENARIO-1,TEAM-1,SITE-1,1.0
SCENARIO-2,TEAM-1,SITE-1,1.0
SCENARIO-3,TEAM-1,SITE-1,1.0
SCENARIO-4,TEAM-1,SITE-1,1.0
SCENARIO-5,TEAM-1,SITE-1,1.0
SCENARIO-6,TEAM-1,SITE-1,1.0
SCENARIO-7,TEAM-1,SITE-1,1.0
SCENARIO-8,TEAM-1,SITE-1,1.0
SCENARIO-9,TEAM-1,SITE-1,1.0
SCENARIO-10,TEAM-1,SITE-1,1.0
