scenario,team,site,nb_rescues
SCENARIO-1,TEAM-1,SITE-1,0.2
SCENARIO-2,TEAM-1,SITE-1,0.2
SCENARIO-3,TEAM-1,SITE-1,0.2
SCENARIO-4,TEAM-1,SITE-1,0.2
SCENARIO-5,TEAM-1,SITE-1,0.2
SCENARIO-6,TEAM-1,SITE-1,0.2
SCENARIO-7,TEAM-1,SITE-1,0.2
SCENARIO-8,TEAM-1,SITE-1,0.2
SCENARIO-9,TEAM-1,SITE-1,0.2
SCENARIO-10,TEAM-1,SITE-1,0.2
SCENARIO-11,TEAM-1,SITE-1,0.2
SCENARIO-12,TEAM-1,SITE-1,0.2
SCENARIO-13,TEAM-1,SITE-1,0.2
SCENARIO-14,TEAM-1,SITE-1,0.2
SCENARIO-15,TEAM-1,SITE-1,0.2
SCENARIO-16,TEAM-1,SITE-1,0.2
SCENARIO-17,TEAM-1,SITE-1,0.2
SCENARIO-18,TEAM-1,SITE-1,0.2
SCENARIO-19,TEAM-1,SITE-1,0.2
SCENARIO-20,TEAM-1,SITE-1,0.2
SCENARIO-21,TEAM-1,SITE-1,0.2
SCENARIO-22,TEAM-1,SITE-1,0.2
SCENARIO-23,TEAM-1,SITE-1,0.2
SCENARIO-24,TEAM-1,SITE-1,0.2
SCENARIO-25,TEAM-1,SITE-1,0.2
SCENARIO-26,TEAM-1,SITE-1,0.2
SCENARIO-27,TEAM-1,SITE-1,0.2
SCENARIO-28,TEAM-1,SITE-1,0.2
SCENARIO-29,TEAM-1,SITE-1,0.2
SCENARIO-30,TEAM-1,SITE-1,0.2
SCENARIO-31,TEAM-1,SITE-1,0.2
SCENARIO-32,TEAM-1,SITE-1,0.2
SCENARIO-33,TEAM-1,SITE-1,0.2
SCENARIO-34,TEAM-1,SITE-1,0.2
SCENARIO-35,TEAM-1,SITE-1,0.2
SCENARIO-36,TEAM-1,SITE-1,0.2
SCENARIO-37,TEAM-1,SITE-1,0.2
SCENARIO-38,TEAM-1,SITE-1,0.2
SCENARIO-39,TEAM-1,SITE-1,0.2
SCENARIO-40,TEAM-1,SITE-1,0.2
SCENARIO-41,TEAM-1,SITE-1,0.2
SCENARIO-42,TEAM-1,SITE-1,0.2
SCENARIO-43,TEAM-1,SITE-1,0.2
SCENARIO-44,TEAM-1,SITE-1,0.2
SCENARIO-45,TEAM-1,SITE-1,0.2
SCENARIO-46,TEAM-1,SITE-1,0.2
SCENARIO-47,TEAM-1,SITE-1,0.2
SCENARIO-48,TEAM-1,SITE-1,0.2
SCENARIO-49,TEAM-1,SITE-1,0.2
SCENARIO-50,TEAM-1,SITE-1,0.2
